Date,M2EURO
1980-01-31,1070496.0
1980-02-29,1078232.0
1980-03-31,1088333.0
1980-04-30,1093263.0
1980-05-31,1100958.0
1980-06-30,1109205.0
1980-07-31,1120452.0
1980-08-31,1127098.0
1980-09-30,1133419.0
1980-10-31,1145159.0
1980-11-30,1160031.0
1980-12-31,1165452.0
1981-01-31,1175008.0
1981-02-28,1186668.0
1981-03-31,1194414.0
1981-04-30,1204188.0
1981-05-31,1215847.0
1981-06-30,1223076.0
1981-07-31,1230470.0
1981-08-31,1234000.0
1981-09-30,1246150.0
1981-10-31,1253958.0
1981-11-30,1264026.0
1981-12-31,1273805.0
1982-01-31,1287848.0
1982-02-28,1299092.0
1982-03-31,1313351.0
1982-04-30,1326733.0
1982-05-31,1334764.0
1982-06-30,1347524.0
1982-07-31,1358609.0
1982-08-31,1372472.0
1982-09-30,1382740.0
1982-10-31,1389853.0
1982-11-30,1401761.0
1982-12-31,1414556.0
1983-01-31,1425088.0
1983-02-28,1435898.0
1983-03-31,1443423.0
1983-04-30,1453878.0
1983-05-31,1464343.0
1983-06-30,1474969.0
1983-07-31,1486582.0
1983-08-31,1498206.0
1983-09-30,1503408.0
1983-10-31,1513481.0
1983-11-30,1526253.0
1983-12-31,1537092.0
1984-01-31,1543563.0
1984-02-29,1549774.0
1984-03-31,1559014.0
1984-04-30,1568820.0
1984-05-31,1583749.0
1984-06-30,1591965.0
1984-07-31,1603857.0
1984-08-31,1617813.0
1984-09-30,1631220.0
1984-10-31,1638411.0
1984-11-30,1649653.0
1984-12-31,1661882.0
1985-01-31,1676415.0
1985-02-28,1691806.0
1985-03-31,1700138.0
1985-04-30,1709983.0
1985-05-31,1715317.0
1985-06-30,1722006.0
1985-07-31,1731220.0
1985-08-31,1738364.0
1985-09-30,1746936.0
1985-10-31,1755357.0
1985-11-30,1760581.0
1985-12-31,1784034.0
1986-01-31,1792537.0
1986-02-28,1800828.0
1986-03-31,1818276.0
1986-04-30,1815354.0
1986-05-31,1824547.0
1986-06-30,1832456.0
1986-07-31,1847233.0
1986-08-31,1858580.0
1986-09-30,1872837.0
1986-10-31,1889296.0
1986-11-30,1896941.0
1986-12-31,1903734.0
1987-01-31,1918425.0
1987-02-28,1927091.0
1987-03-31,1940390.0
1987-04-30,1952955.0
1987-05-31,1962800.0
1987-06-30,1975973.0
1987-07-31,1985755.0
1987-08-31,1992865.0
1987-09-30,2002177.0
1987-10-31,2016290.0
1987-11-30,2024128.0
1987-12-31,2027444.0
1988-01-31,2037581.0
1988-02-29,2046281.0
1988-03-31,2057427.0
1988-04-30,2076081.0
1988-05-31,2090533.0
1988-06-30,2100900.0
1988-07-31,2116901.0
1988-08-31,2131825.0
1988-09-30,2139817.0
1988-10-31,2154925.0
1988-11-30,2167024.0
1988-12-31,2173774.0
1989-01-31,2185797.0
1989-02-28,2197853.0
1989-03-31,2222161.0
1989-04-30,2224430.0
1989-05-31,2240671.0
1989-06-30,2263203.0
1989-07-31,2280165.0
1989-08-31,2292824.0
1989-09-30,2303555.0
1989-10-31,2312607.0
1989-11-30,2326287.0
1989-12-31,2343345.0
1990-01-31,2360748.0
1990-02-28,2368976.0
1990-03-31,2371264.0
1990-04-30,2378067.0
1990-05-31,2386578.0
1990-06-30,2494707.0
1990-07-31,2506891.0
1990-08-31,2521801.0
1990-09-30,2539282.0
1990-10-31,2548320.0
1990-11-30,2560619.0
1990-12-31,2573883.0
1991-01-31,2583655.0
1991-02-28,2601663.0
1991-03-31,2601696.0
1991-04-30,2615487.0
1991-05-31,2630099.0
1991-06-30,2639742.0
1991-07-31,2650528.0
1991-08-31,2665240.0
1991-09-30,2672023.0
1991-10-31,2683318.0
1991-11-30,2704447.0
1991-12-31,2722085.0
1992-01-31,2720803.0
1992-02-29,2729621.0
1992-03-31,2747609.0
1992-04-30,2764811.0
1992-05-31,2778249.0
1992-06-30,2784130.0
1992-07-31,2792853.0
1992-08-31,2803439.0
1992-09-30,2836589.0
1992-10-31,2839113.0
1992-11-30,2860628.0
1992-12-31,2853356.0
1993-01-31,2861813.0
1993-02-28,2876975.0
1993-03-31,2905799.0
1993-04-30,2918598.0
1993-05-31,2937506.0
1993-06-30,2950419.0
1993-07-31,2962145.0
1993-08-31,2977872.0
1993-09-30,2989060.0
1993-10-31,3013455.0
1993-11-30,3037935.0
1993-12-31,3067025.0
1994-01-31,3085865.0
1994-02-28,3101072.0
1994-03-31,3125371.0
1994-04-30,3133464.0
1994-05-31,3135071.0
1994-06-30,3145542.0
1994-07-31,3155590.0
1994-08-31,3157950.0
1994-09-30,3162985.0
1994-10-31,3169833.0
1994-11-30,3167131.0
1994-12-31,3159101.0
1995-01-31,3158136.0
1995-02-28,3172336.0
1995-03-31,3176992.0
1995-04-30,3182541.0
1995-05-31,3197971.0
1995-06-30,3212302.0
1995-07-31,3220407.0
1995-08-31,3233209.0
1995-09-30,3256397.0
1995-10-31,3269129.0
1995-11-30,3280691.0
1995-12-31,3312463.0
1996-01-31,3319911.0
1996-02-29,3329074.0
1996-03-31,3337370.0
1996-04-30,3358564.0
1996-05-31,3368180.0
1996-06-30,3382265.0
1996-07-31,3397399.0
1996-08-31,3412208.0
1996-09-30,3430659.0
1996-10-31,3436406.0
1996-11-30,3455104.0
1996-12-31,3485231.0
1997-01-31,3482856.0
1997-02-28,3493517.0
1997-03-31,3496684.0
1997-04-30,3498629.0
1997-05-31,3514659.0
1997-06-30,3533982.0
1997-07-31,3548645.0
1997-08-31,3558109.0
1997-09-30,3570962.0
1997-10-31,3595263.0
1997-11-30,3600773.0
1997-12-31,3615677.0
1998-01-31,3638426.0
1998-02-28,3656642.0
1998-03-31,3666674.0
1998-04-30,3695000.0
1998-05-31,3718207.0
1998-06-30,3742800.0
1998-07-31,3735036.0
1998-08-31,3747240.0
1998-09-30,3756213.0
1998-10-31,3776275.0
1998-11-30,3805327.0
1998-12-31,3848054.0
1999-01-31,3930982.0
1999-02-28,3905442.0
1999-03-31,3930847.0
1999-04-30,3952443.0
1999-05-31,3968746.0
1999-06-30,3988595.0
1999-07-31,4023726.0
1999-08-31,4024225.0
1999-09-30,4029253.0
1999-10-31,4052935.0
1999-11-30,4066747.0
1999-12-31,4078868.0
2000-01-31,4121606.0
2000-02-29,4136412.0
2000-03-31,4149339.0
2000-04-30,4174322.0
2000-05-31,4168507.0
2000-06-30,4171277.0
2000-07-31,4183450.0
2000-08-31,4209465.0
2000-09-30,4212330.0
2000-10-31,4225858.0
2000-11-30,4226830.0
2000-12-31,4226952.0
2001-01-31,4340387.0
2001-02-28,4363192.0
2001-03-31,4382791.0
2001-04-30,4412550.0
2001-05-31,4429759.0
2001-06-30,4467986.0
2001-07-31,4481145.0
2001-08-31,4501923.0
2001-09-30,4533918.0
2001-10-31,4553696.0
2001-11-30,4588671.0
2001-12-31,4615510.0
2002-01-31,4645232.0
2002-02-28,4650397.0
2002-03-31,4662027.0
2002-04-30,4697507.0
2002-05-31,4719009.0
2002-06-30,4735880.0
2002-07-31,4761547.0
2002-08-31,4785365.0
2002-09-30,4821013.0
2002-10-31,4847022.0
2002-11-30,4890882.0
2002-12-31,4915147.0
2003-01-31,4922129.0
2003-02-28,4968610.0
2003-03-31,5000011.0
2003-04-30,5048210.0
2003-05-31,5088934.0
2003-06-30,5096544.0
2003-07-31,5123636.0
2003-08-31,5160933.0
2003-09-30,5167505.0
2003-10-31,5200531.0
2003-11-30,5217471.0
2003-12-31,5238327.0
2004-01-31,5259980.0
2004-02-29,5281581.0
2004-03-31,5316424.0
2004-04-30,5341144.0
2004-05-31,5355734.0
2004-06-30,5385279.0
2004-07-31,5421035.0
2004-08-31,5438154.0
2004-09-30,5484081.0
2004-10-31,5518152.0
2004-11-30,5542737.0
2004-12-31,5573540.0
2005-01-31,5623288.0
2005-02-28,5653315.0
2005-03-31,5679341.0
2005-04-30,5721454.0
2005-05-31,5762299.0
2005-06-30,5824959.0
2005-07-31,5885266.0
2005-08-31,5914509.0
2005-09-30,5980748.0
2005-10-31,6001860.0
2005-11-30,6027064.0
2005-12-31,6093186.0
2006-01-31,6124570.0
2006-02-28,6175649.0
2006-03-31,6222149.0
2006-04-30,6295495.0
2006-05-31,6317503.0
2006-06-30,6363553.0
2006-07-31,6369246.0
2006-08-31,6406721.0
2006-09-30,6486139.0
2006-10-31,6500180.0
2006-11-30,6556170.0
2006-12-31,6663329.0
2007-01-31,6705357.0
2007-02-28,6739280.0
2007-03-31,6825507.0
2007-04-30,6850746.0
2007-05-31,6917829.0
2007-06-30,6987296.0
2007-07-31,7057569.0
2007-08-31,7100108.0
2007-09-30,7161755.0
2007-10-31,7267682.0
2007-11-30,7323179.0
2007-12-31,7356073.0
2008-01-31,7440745.0
2008-02-29,7505318.0
2008-03-31,7536659.0
2008-04-30,7616022.0
2008-05-31,7674618.0
2008-06-30,7700435.0
2008-07-31,7750811.0
2008-08-31,7787840.0
2008-09-30,7865188.0
2008-10-31,8010727.0
2008-11-30,8035211.0
2008-12-31,8041762.0
2009-01-31,8089401.0
2009-02-28,8112143.0
2009-03-31,8093515.0
2009-04-30,8145669.0
2009-05-31,8140833.0
2009-06-30,8155197.0
2009-07-31,8184207.0
2009-08-31,8176976.0
2009-09-30,8189516.0
2009-10-31,8195862.0
2009-11-30,8181093.0
2009-12-31,8207839.0
2010-01-31,8220765.0
2010-02-28,8228832.0
2010-03-31,8230444.0
2010-04-30,8264563.0
2010-05-31,8283333.0
2010-06-30,8314433.0
2010-07-31,8331067.0
2010-08-31,8367919.0
2010-09-30,8367910.0
2010-10-31,8387527.0
2010-11-30,8404159.0
2010-12-31,8423299.0
2011-01-31,8436054.0
2011-02-28,8444617.0
2011-03-31,8458122.0
2011-04-30,8456009.0
2011-05-31,8480338.0
2011-06-30,8495988.0
2011-07-31,8509521.0
2011-08-31,8558299.0
2011-09-30,8593759.0
2011-10-31,8572193.0
2011-11-30,8588089.0
2011-12-31,8607320.0
2012-01-31,8644031.0
2012-02-29,8679871.0
2012-03-31,8723292.0
2012-04-30,8704188.0
2012-05-31,8746773.0
2012-06-30,8779098.0
2012-07-31,8829323.0
2012-08-31,8846566.0
2012-09-30,8875881.0
2012-10-31,8948155.0
2012-11-30,8975122.0
2012-12-31,8998474.0
2013-01-31,9014275.0
2013-02-28,9049240.0
2013-03-31,9079682.0
2013-04-30,9108326.0
2013-05-31,9129445.0
2013-06-30,9126627.0
2013-07-31,9147571.0
2013-08-31,9183775.0
2013-09-30,9198843.0
2013-10-31,9219721.0
2013-11-30,9235023.0
2013-12-31,9212026.0
2014-01-31,9239268.0
2014-02-28,9267544.0
2014-03-31,9284719.0
2014-04-30,9287884.0
2014-05-31,9337820.0
2014-06-30,9362807.0
2014-07-31,9390708.0
2014-08-31,9433034.0
2014-09-30,9482753.0
2014-10-31,9500212.0
2014-11-30,9559214.0
2014-12-31,9676028.0
2015-01-31,9745960.0
2015-02-28,9761926.0
2015-03-31,9815782.0
2015-04-30,9865617.0
2015-05-31,9909778.0
2015-06-30,9947884.0
2015-07-31,10012113.0
2015-08-31,10030998.0
2015-09-30,10060424.0
2015-10-31,10124558.0
2015-11-30,10182417.0
2015-12-31,10217313.0
2016-01-31,10268839.0
2016-02-29,10320213.0
2016-03-31,10342705.0
2016-04-30,10383940.0
2016-05-31,10423954.0
2016-06-30,10452292.0
2016-07-31,10502607.0
2016-08-31,10528589.0
2016-09-30,10569166.0
2016-10-31,10591645.0
2016-11-30,10662425.0
2016-12-31,10710530.0
2017-01-31,10759056.0
2017-02-28,10814115.0
2017-03-31,10881654.0
2017-04-30,10912228.0
2017-05-31,10928508.0
2017-06-30,10988182.0
2017-07-31,11008582.0
2017-08-31,11066852.0
2017-09-30,11095402.0
2017-10-31,11139576.0
2017-11-30,11176686.0
2017-12-31,11208278.0
2018-01-31,11269445.0
2018-02-28,11279345.0
2018-03-31,11291178.0
2018-04-30,11338310.0
2018-05-31,11421681.0
2018-06-30,11493439.0
2018-07-31,11495367.0
2018-08-31,11513477.0
2018-09-30,11560774.0
2018-10-31,11622671.0
2018-11-30,11667007.0
2018-12-31,11711034.0
2019-01-31,11749319.0
2019-02-28,11809936.0
2019-03-31,11891739.0
2019-04-30,11966973.0
2019-05-31,12032382.0
2019-06-30,12070935.0
2019-07-31,12137470.0
2019-08-31,12239218.0
2019-09-30,12279671.0
2019-10-31,12337796.0
2019-11-30,12376509.0
2019-12-31,12377539.0
2020-01-31,12416744.0
2020-02-29,12487012.0
2020-03-31,12793133.0
2020-04-30,12975064.0
2020-05-31,13130131.0
2020-06-30,13220879.0
2020-07-31,13289697.0
2020-08-31,13347514.0
2020-09-30,13448249.0
2020-10-31,13541984.0
2020-11-30,13636887.0
2020-12-31,13742922.0
2021-01-31,13827290.0
2021-02-28,13914884.0
2021-03-31,14019911.0
2021-04-30,14066290.0
2021-05-31,14155412.0
2021-06-30,14232234.0
2021-07-31,14331372.0
2021-08-31,14422526.0
2021-09-30,14492634.0
2021-10-31,14566489.0
2021-11-30,14613302.0
2021-12-31,14712119.0
2022-01-31,14830219.0
2022-02-28,14912392.0
2022-03-31,14976033.0
2022-04-30,15025587.0
2022-05-31,15073693.0
2022-06-30,15140759.0
2022-07-31,15238354.0
2022-08-31,15377648.0
2022-09-30,15422178.0
2022-10-31,15373322.0
2022-11-30,15312129.0
2022-12-31,15237981.0
2023-01-31,15269069.0
2023-02-28,15222184.0
2023-03-31,15178734.0
2023-04-30,15120271.0
2023-05-31,15105451.0
2023-06-30,15086706.0
2023-07-31,15063603.0
2023-08-31,15038755.0
2023-09-30,15062795.0
2023-10-31,15039414.0
2023-11-30,15036237.0
2023-12-31,15111993.0
2024-01-31,15083328.0
2024-02-29,15103809.0
2024-03-31,15118968.0
2024-04-30,15142798.0
2024-05-31,15179106.0
2024-06-30,15283438.0
2024-07-31,15257981.0
2024-08-31,15328063.0
2024-09-30,15400882.0
2024-10-31,15430200.0
2024-11-30,15530867.0
2024-12-31,15603787.0
2025-01-31,15581930.0
2025-02-28,15622800.0
2025-03-31,15658278.0
2025-04-30,15688806.0
2025-05-31,15723358.0
2025-06-30,15723085.0
2025-07-31,15736526.0
2025-08-31,15754917.0
2025-09-30,15788711.0
2025-10-31,15900932.0
2025-11-30,16024599.0
2025-12-31,16077194.0
2026-01-31,16203435.0
2026-02-28,16245831.0
